物件名,所在地,最寄り駅,徒歩分,築年数,階数,間取り,面積,家賃,URL,築年数_num,面積_num,家賃_num,徒歩分_num,駅名,家賃_per_㎡,log_家賃_per_㎡,log_家賃_per_㎡_pred
プクラルーチェ,大分県大分市大字猪野,高城駅,"ＪＲ日豊本線/高城駅 歩41分
ＪＲ日豊本線/鶴崎駅 歩47分
ＪＲ日豊本線/牧駅 歩52分",築8年,2階,3LDK,68.87m2,6.7万円,https://suumo.jp/chintai/jnc_000099193186/?bc=100442828178,8,68.87,6.7,41,高城駅,0.0972847393640191,-2.3301131431596867,-2.319645012729046
ＪＲ豊肥本線 滝尾駅 2階建 築9年,大分県大分市大字羽田,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩14分,築9年,2階,1LDK,49.14m2,5.4万円,https://suumo.jp/chintai/jnc_000099587450/?bc=100444807315,9,49.14,5.4,14,滝尾駅,0.1098901098901099,-2.2082744135228043,-2.138865783368024
アイレフ　Ｂ棟,大分県大分市大在浜１,,-/浜天満社前 歩6分,築27年,2階,2LDK,53.26m2,4.95万円,https://suumo.jp/chintai/jnc_000092762441/?bc=100404219666,27,53.26,4.95,6,,0.0929402929027412,-2.3757980038051874,
パークタウン畑中ND,大分県大分市畑中５,大分駅,"ＪＲ豊肥本線/大分駅 歩9分
ＪＲ日豊本線/大分駅 歩9分
ＪＲ久大本線/大分駅 歩9分",築21年,3階,2LDK,51.66m2,5.4万円,https://suumo.jp/chintai/jnc_000069125690/?bc=100444161394,21,51.66,5.4,9,大分駅,0.1045296167247386,-2.2582848340974655,-2.0117438139244244
ボヌール,大分県大分市大在北３,大在駅,ＪＲ日豊本線/大在駅 歩24分,築19年,3階,2LDK,56.3m2,5.1万円,https://suumo.jp/chintai/jnc_000099350366/?bc=100405936533,19,56.3,5.1,24,大在駅,0.0905861456483126,-2.401453995415365,-2.354115474647695
エクセル悦和８,大分県大分市城南北２,南大分駅,ＪＲ久大本線/南大分駅 歩15分,築25年,3階,2LDK,58.59m2,5.2万円,https://suumo.jp/chintai/jnc_000093179200/?bc=100399094010,25,58.59,5.2,15,南大分駅,0.0887523468168629,-2.4219054079693154,-2.290393366225227
ハーモニーメゾンI,大分県大分市政所１,大在駅,ＪＲ日豊本線/大在駅 歩7分,築18年,2階,2DK,46.49m2,4.7万円,https://suumo.jp/chintai/jnc_000099502738/?bc=100442011011,18,46.49,4.7,7,大在駅,0.101097010109701,-2.2916747269864803,-2.228574446804842
クールカーサ,大分県大分市里３,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩20分,築20年,2階,2DK,44.82m2,4.1万円,https://suumo.jp/chintai/jnc_000098518392/?bc=100437460054,20,44.82,4.1,20,坂ノ市駅,0.0914770191878625,-2.391667494662519,-2.319984561831808
シャーメゾン・ハクサンＢ,大分県大分市坂ノ市西２,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩18分,築20年,2階,2LDK,57.81m2,5.6万円,https://suumo.jp/chintai/jnc_000096996502/?bc=100437046917,20,57.81,5.6,18,坂ノ市駅,0.0968690537969209,-2.3343951733532813,-2.440515466339047
ベル　プランタン,大分県大分市新栄町,高城駅,ＪＲ日豊本線/高城駅 歩13分,築8年,2階,1LDK,44.66m2,5.45万円,https://suumo.jp/chintai/jnc_000099151376/?bc=100441953154,8,44.66,5.45,13,高城駅,0.1220331392745186,-2.103462637736859,-2.050329590926859
プランドール小池原,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩21分
ＪＲ日豊本線/鶴崎駅 歩31分
ＪＲ日豊本線/牧駅 歩43分",築18年,2階,2LDK,51.15m2,5.1万円,https://suumo.jp/chintai/jnc_000065346137/?bc=100433471646,18,51.15,5.1,21,高城駅,0.0997067448680351,-2.3055219526673554,-2.207732509349978
センチュリー２１Ｃ・Ｄ,大分県大分市横田２,大在駅,"ＪＲ日豊本線/大在駅 歩15分
ＪＲ日豊本線/坂ノ市駅 歩45分
ＪＲ日豊本線/鶴崎駅 歩55分",築23年,2階,2SLDK,74.52m2,5.9万円,https://suumo.jp/chintai/jnc_000099433801/?bc=100443904822,23,74.52,5.9,15,大在駅,0.0791733762748255,-2.536115194821714,-2.5482557165007718
グローリア・Ｈ,大分県大分市大在北１,大在駅,"ＪＲ日豊本線/大在駅 歩17分
ＪＲ日豊本線/鶴崎駅 バス8分 (バス停)久保 歩1分
ＪＲ日豊本線/大分駅 バス33分 (バス停)久保 歩1分",築23年,2階,2LDK,58.12m2,4.8万円,https://suumo.jp/chintai/jnc_000097937239/?bc=100434552410,23,58.12,4.8,17,大在駅,0.0825877494838265,-2.493893920788237,-2.3953449848982693
ブレインマンション王ノ瀬,大分県大分市王ノ瀬２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩17分
ＪＲ日豊本線/大在駅 歩37分",築20年,3階,3LDK,68.8m2,6万円,https://suumo.jp/chintai/jnc_000098002335/?bc=100433275978,20,68.8,6.0,17,坂ノ市駅,0.0872093023255814,-2.439444275711243,-2.5434634179455142
フェリ－チェ・ルミナス,大分県大分市須賀１,大在駅,ＪＲ日豊本線/大在駅 歩27分,築15年,2階,2LDK,54.4m2,5万円,https://suumo.jp/chintai/jnc_000098947518/?bc=100401142279,15,54.4,5.0,27,大在駅,0.0919117647058823,-2.3869262414277963,-2.3064937282202265
ベル・ブーケ　大在,大分県大分市大在北１,大在駅,"ＪＲ日豊本線/大在駅 歩20分
ＪＲ日豊本線/鶴崎駅 歩38分
ＪＲ日豊本線/坂ノ市駅 歩60分",築12年,2階,2LDK,56.47m2,5.5万円,https://suumo.jp/chintai/jnc_000097079091/?bc=100426260158,12,56.47,5.5,20,大在駅,0.0973968478838321,-2.32896143144632,-2.290938997962132
エアリ－メゾンII,大分県大分市汐見１,大在駅,ＪＲ日豊本線/大在駅 歩18分,築18年,2階,2LDK,61.76m2,5.3万円,https://suumo.jp/chintai/jnc_000098116365/?bc=100434203001,18,61.76,5.3,18,大在駅,0.0858160621761658,-2.4555490851584447,-2.389061130831982
エアリ－メゾンIII,大分県大分市汐見１,大在駅,ＪＲ日豊本線/大在駅 歩18分,築18年,2階,2LDK,61.76m2,5.3万円,https://suumo.jp/chintai/jnc_000094334532/?bc=100439896454,18,61.76,5.3,18,大在駅,0.0858160621761658,-2.4555490851584447,-2.389061130831982
ＪＲ日豊本線 牧駅 2階建 築17年,大分県大分市東浜１,牧駅,ＪＲ日豊本線/牧駅 歩22分,築17年,2階,1LDK,42.37m2,4.7万円,https://suumo.jp/chintai/jnc_000081818040/?bc=100444807316,17,42.37,4.7,22,牧駅,0.1109275430729289,-2.1988780559224548,-2.072860679430056
ひらき,大分県大分市横田２,大在駅,ＪＲ日豊本線/大在駅 歩13分,築16年,2階,1LDK,42.37m2,4.85万円,https://suumo.jp/chintai/jnc_000099502739/?bc=100437504037,16,42.37,4.85,13,大在駅,0.114467783809299,-2.167461859689076,-2.1809993447650227
エストピア七番館,大分県大分市東鶴崎２,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩14分
ＪＲ日豊本線/大在駅 歩38分
ＪＲ日豊本線/高城駅 歩49分",築4年,3階,1LDK,41.6m2,5.3万円,https://suumo.jp/chintai/jnc_000098906872/?bc=100440970539,4,41.6,5.3,14,鶴崎駅,0.1274038461538461,-2.0603933467091413,-2.029760272128076
セゾンフローラB,大分県大分市大在北１,大在駅,"ＪＲ日豊本線/大在駅 歩21分
ＪＲ日豊本線/鶴崎駅 歩38分",築15年,2階,2LDK,57.63m2,5.4万円,https://suumo.jp/chintai/jnc_000099502734/?bc=100441963483,15,57.63,5.4,21,大在駅,0.0937011972930765,-2.367644311878346,-2.3287154680220796
ヴィーブルＳ１１,大分県大分市尼が瀬１,南大分駅,"ＪＲ久大本線/南大分駅 歩12分
ＪＲ日豊本線/大分駅 バス14分 (バス停)明磧 歩7分",築24年,2階,3LDK,65.57m2,5.8万円,https://suumo.jp/chintai/jnc_000089154571/?bc=100371236397,24,65.57,5.8,12,南大分駅,0.0884550861674546,-2.4252603567231543,-2.3439967032252005
エル・フォンティーヌ,大分県大分市大字皆春,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩16分
ＪＲ日豊本線/高城駅 歩45分
ＪＲ日豊本線/大在駅 歩55分",築15年,2階,2LDK,51.3m2,5.7万円,https://suumo.jp/chintai/jnc_000037673761/?bc=100418133867,15,51.3,5.7,16,鶴崎駅,0.1111111111111111,-2.197224577336219,-2.217646180504495
ウィルヴィラージュ,大分県大分市志村１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩19分
ＪＲ日豊本線/大在駅 歩30分
ＪＲ日豊本線/高城駅 歩55分",築18年,2階,2LDK,51.3m2,5.3万円,https://suumo.jp/chintai/jnc_000092946186/?bc=100397614506,18,51.3,5.3,19,鶴崎駅,0.1033138401559454,-2.2699839316186474,-2.247224108091507
カ－サ・ブロ－テ,大分県大分市角子原２,大在駅,ＪＲ日豊本線/大在駅 歩12分,築18年,2階,2LDK,58.86m2,5.5万円,https://suumo.jp/chintai/jnc_000098990631/?bc=100440748780,18,58.86,5.5,12,大在駅,0.0934420659191301,-2.3704136505669013,-2.353075146266103
ユーミー奥田,大分県大分市明磧町２,南大分駅,"ＪＲ久大本線/南大分駅 歩15分
大分バス/明磧 歩4分
ＪＲ久大本線/賀来駅 歩36分",築13年,4階,1LDK,41.04m2,5.5万円,https://suumo.jp/chintai/jnc_000098889989/?bc=100444361799,13,41.04,5.5,15,南大分駅,0.1340155945419103,-2.009799108624089,-2.0223325215853576
スマイル・レジデンス,大分県大分市三佐３,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩16分,築9年,2階,2LDK,57.07m2,5.8万円,https://suumo.jp/chintai/jnc_000098738864/?bc=100439132806,9,57.07,5.8,16,鶴崎駅,0.1016295777115822,-2.2864206669962432,-2.2217285397389928
プラシード片島,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩18分,築15年,2階,2DK,45.39m2,4.8万円,https://suumo.jp/chintai/jnc_000098539217/?bc=100429806201,15,45.39,4.8,18,滝尾駅,0.1057501652346331,-2.246675898554529,-2.1595970282179904
アルシェ・ノイ,大分県大分市横田１,大在駅,ＪＲ日豊本線/大在駅 歩12分,築11年,2階,1LDK,44.97m2,4.95万円,https://suumo.jp/chintai/jnc_000099298356/?bc=100443055988,11,44.97,4.95,12,大在駅,0.1100733822548365,-2.206608024202017,-2.1620238221424692
マリアナオ・Ｈ,大分県大分市王ノ瀬１,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩16分
ＪＲ日豊本線/大在駅 歩28分",築13年,2階,2DK,46.06m2,4.65万円,https://suumo.jp/chintai/jnc_000098866330/?bc=100441150560,13,46.06,4.65,16,坂ノ市駅,0.1009552757273122,-2.293077674793274,-2.266968324146812
リオ　グランデ,大分県大分市萩原２,牧駅,ＪＲ日豊本線/牧駅 歩15分,築5年,5階,1LDK,41.6m2,5.2万円,https://suumo.jp/chintai/jnc_000060247390/?bc=100433332028,5,41.6,5.2,15,牧駅,0.125,-2.0794415416798357,-1.9542781353961245
シャルマン寺崎,大分県大分市寺崎町１,高城駅,ＪＲ日豊本線/高城駅 歩11分,築22年,2階,2LDK,51.67m2,5.1万円,https://suumo.jp/chintai/jnc_000083967081/?bc=100438508380,22,51.67,5.1,11,高城駅,0.0987033094639055,-2.315636802568813,-2.2323933598877854
サンステージ,大分県大分市大字横尾,高城駅,ＪＲ日豊本線/高城駅 バス15分 (バス停)二目川下 歩3分,築20年,7階,2LDK,52.8m2,5.1万円,https://suumo.jp/chintai/jnc_000096642157/?bc=100423066064,20,52.8,5.1,3,高城駅,0.096590909090909,-2.3372706509819356,-2.2149558253158768
グランヴェルデ蓮池,大分県大分市大字城原,大在駅,"ＪＲ日豊本線/大在駅 歩12分
大分バス/曙台入り口停 歩3分",築11年,2階,1LDK,36m2,5万円,https://suumo.jp/chintai/jnc_000098329238/?bc=100437007584,11,36.0,5.0,12,大在駅,0.1388888888888889,-1.9740810260220096,-2.0768487344461293
アンジュ・ココ,大分県大分市大字三佐,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩24分,築11年,2階,2DK,50.33m2,4.85万円,https://suumo.jp/chintai/jnc_000099106448/?bc=100441669021,11,50.33,4.85,24,鶴崎駅,0.0963639976157361,-2.3396226158388767,-2.1858960361864344
ヴェルジュ．Ｓ２,大分県大分市大字曲,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩10分,築15年,2階,2DK,45.39m2,4.9万円,https://suumo.jp/chintai/jnc_000099151374/?bc=100442283733,15,45.39,4.9,10,滝尾駅,0.1079532936770213,-2.2260566113517934,-2.148331843939053
プランドールＭＥＲＡ,大分県大分市大字片島,,バス/滝尾保養院前 歩4分,築12年,2階,2LDK,51.66m2,5.8万円,https://suumo.jp/chintai/jnc_000099072108/?bc=100442993435,12,51.66,5.8,4,,0.1122725512969415,-2.186825870115321,
オレンジハイツ２,大分県大分市大在北３,大在駅,"ＪＲ日豊本線/大在駅 歩25分
ＪＲ日豊本線/鶴崎駅 歩44分
ＪＲ日豊本線/坂ノ市駅 歩61分",築17年,2階,1LDK,46.49m2,4.65万円,https://suumo.jp/chintai/jnc_000097870678/?bc=100433144205,17,46.49,4.65,25,大在駅,0.100021510002151,-2.3023700161032283,-2.2454699502716475
プチハウスII,大分県大分市大字松岡,中判田駅,"ＪＲ豊肥本線/中判田駅 バス7分 (バス停)東芝工場正門 歩2分
ＪＲ日豊本線/鶴崎駅 バス10分 (バス停)東芝工場正門 歩2分",築26年,2階,2LDK,52m2,4.5万円,https://suumo.jp/chintai/jnc_000099151375/?bc=100442679642,26,52.0,4.5,2,中判田駅,0.0865384615384615,-2.447166321805154,-2.387719393752291
サンシャイン７,大分県大分市須賀２,大在駅,ＪＲ日豊本線/大在駅 歩28分,築18年,3階,3DK,60.97m2,6万円,https://suumo.jp/chintai/jnc_000014857625/?bc=100364600777,18,60.97,6.0,28,大在駅,0.0984090536329342,-2.3186224706916696,-2.3956411263110766
Sungrace Casa,大分県大分市高城本町,高城駅,"ＪＲ日豊本線/高城駅 歩4分
ＪＲ日豊本線/牧駅 歩26分",築10年,6階,1LDK,32.33m2,5万円,https://suumo.jp/chintai/jnc_000098866316/?bc=100441857103,10,32.33,5.0,4,高城駅,0.1546551190844417,-1.8665576793032412,-1.9374784436664487
ブルースカイ,大分県大分市大在北４,大在駅,"ＪＲ日豊本線/大在駅 歩21分
ＪＲ日豊本線/鶴崎駅 歩49分
ＪＲ日豊本線/坂ノ市駅 歩57分",築13年,2階,2LDK,51.66m2,5.6万円,https://suumo.jp/chintai/jnc_000046634738/?bc=100417406581,13,51.66,5.6,21,大在駅,0.1084010840108401,-2.221917189926591,-2.2551247094075912
ヴィータセレーナ西大道,大分県大分市西大道１,大分駅,"ＪＲ久大本線/大分駅 歩17分
ＪＲ豊肥本線/大分駅 歩17分
ＪＲ日豊本線/大分駅 歩17分",築9年,5階,1LDK,31.5m2,5.6万円,https://suumo.jp/chintai/jnc_000099502742/?bc=100444343051,9,31.5,5.6,17,大分駅,0.1777777777777777,-1.727220948090484,-1.7301647668424838
コンフォート小池原,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩18分
大分バス/小池原 歩1分",築10年,2階,1LDK,33.13m2,4.9万円,https://suumo.jp/chintai/jnc_000049080794/?bc=100432992187,10,33.13,4.9,18,高城駅,0.14790220344099,-1.9112040111952235,-1.964788956528845
アライブ・ＴII,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 バス4分 (バス停)小池原 歩4分
ＪＲ日豊本線/大分駅 バス27分 (バス停)小池原 歩4分",築9年,2階,1LDK,36.41m2,4.8万円,https://suumo.jp/chintai/jnc_000099390710/?bc=100396847154,9,36.41,4.8,4,高城駅,0.1318319143092557,-2.026227544273497,-1.9677691284143481
プリンセス　フィールズ,大分県大分市汐見２,大在駅,"ＪＲ日豊本線/大在駅 歩24分
ＪＲ日豊本線/坂ノ市駅 バス5分 (バス停)浜東 歩1分
ＪＲ日豊本線/鶴崎駅 バス16分 (バス停)浜東 歩1分",築13年,2階,2LDK,61m2,5.45万円,https://suumo.jp/chintai/jnc_000097667514/?bc=100430315963,13,61.0,5.45,24,大在駅,0.0893442622950819,-2.4152582554981588,-2.3480375948816254
ロゼア鶴崎WEST,大分県大分市大字鶴崎,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩12分,築1年,5階,1LDK,42.5m2,5.3万円,https://suumo.jp/chintai/jnc_000096380474/?bc=100442127013,1,42.5,5.3,12,鶴崎駅,0.1247058823529411,-2.081797255372295,-2.010136487996969
ＥＶＡ－０１,大分県大分市大在北３,大在駅,"ＪＲ日豊本線/大在駅 歩23分
ＪＲ日豊本線/鶴崎駅 歩45分",築15年,2階,2LDK,60.33m2,5.5万円,https://suumo.jp/chintai/jnc_000099502735/?bc=100441963491,15,60.33,5.5,23,大在駅,0.0911652577490469,-2.395081400214245,-2.357169750354926
シーウィンド1,大分県大分市大在浜２,大在駅,"ＪＲ日豊本線/大在駅 歩18分
ＪＲ日豊本線/坂ノ市駅 歩31分
ＪＲ日豊本線/鶴崎駅 歩63分",築17年,2階,1LDK,41.04m2,4.8万円,https://suumo.jp/chintai/jnc_000016280028/?bc=100437311675,17,41.04,4.8,18,大在駅,0.1169590643274853,-2.145931282948669,-2.1838621639779623
エンカウンター,大分県大分市大在浜１,大在駅,ＪＲ日豊本線/大在駅 歩14分,築19年,2階,1LDK,41.04m2,4.8万円,https://suumo.jp/chintai/jnc_000052207599/?bc=100433331941,19,41.04,4.8,14,大在駅,0.1169590643274853,-2.145931282948669,-2.1951318941601
エンシーナ,大分県大分市仲西町１,高城駅,"ＪＲ日豊本線/高城駅 歩18分
ＪＲ日豊本線/牧駅 歩33分
ＪＲ日豊本線/鶴崎駅 歩36分",築28年,3階,3DK,51.73m2,4.5万円,https://suumo.jp/chintai/jnc_000083783183/?bc=100336412357,28,51.73,4.5,18,高城駅,0.08699014111734,-2.44196048723915,-2.2935270961247447
マリアージュ,大分県大分市大字皆春,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩13分
ＪＲ日豊本線/高城駅 歩43分
ＪＲ日豊本線/大在駅 歩54分",築8年,2階,1LDK,44.89m2,5.2万円,https://suumo.jp/chintai/jnc_000028033357/?bc=100435877256,8,44.89,5.2,13,鶴崎駅,0.1158387168634439,-2.155556427206459,-2.093397129775548
カルム市原Ａ,大分県大分市大字葛木,鶴崎駅,ＪＲ日豊本線/鶴崎駅 バス12分 (バス停)葛木入口 歩4分,築15年,2階,2DK,45.39m2,4.6万円,https://suumo.jp/chintai/jnc_000099298329/?bc=100443918095,15,45.39,4.6,4,鶴崎駅,0.1013439083498567,-2.289235512973325,-2.1446297008212767
エミネスタウンＳーII,大分県大分市横尾東町４,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 バス15分 (バス停)西寺 歩3分
ＪＲ日豊本線/大分駅 バス29分 (バス停)葛木入口 歩14分",築14年,2階,1LDK,42.19m2,4.75万円,https://suumo.jp/chintai/jnc_000099215304/?bc=100443060572,14,42.19,4.75,3,鶴崎駅,0.1125859208343209,-2.1840386080896974,-2.1043846301285845
ドゥーメゾン,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩20分
ＪＲ豊肥本線/敷戸駅 バス8分 (バス停)大分大学前駅 歩20分
ＪＲ日豊本線/大分駅 バス29分 (バス停)大分大学前駅 歩20分",築20年,2階,1LDK,40.06m2,4.65万円,https://suumo.jp/chintai/jnc_000097316968/?bc=100430974945,20,40.06,4.65,20,大分大学前駅,0.1160758861707438,-2.1535111106384073,-2.1335081257952666
ＪＲ豊肥本線 大分大学前駅 2階建 築20年,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩20分
ＪＲ豊肥本線/敷戸駅 バス8分 (バス停)大分大学前駅 歩20分
ＪＲ日豊本線/大分駅 バス29分 (バス停)大分大学前駅 歩20分",築20年,2階,1LDK,40.06m2,4.65万円,https://suumo.jp/chintai/jnc_000099433752/?bc=100444067567,20,40.06,4.65,20,大分大学前駅,0.1160758861707438,-2.1535111106384073,-2.1335081257952666
ニューサカエールI,大分県大分市大在北３,大在駅,"ＪＲ日豊本線/大在駅 バス3分 (バス停)久保 歩10分
ＪＲ日豊本線/鶴崎駅 バス7分 (バス停)久保 歩10分
ＪＲ日豊本線/坂ノ市駅 バス11分 (バス停)久保 歩10分",築17年,2階,2LDK,58.86m2,5.4万円,https://suumo.jp/chintai/jnc_000098354796/?bc=100424306287,17,58.86,5.4,10,大在駅,0.091743119266055,-2.388762789235098,-2.341807689035565
グラシア寺崎,大分県大分市寺崎町２,高城駅,"ＪＲ日豊本線/高城駅 歩16分
大分バス/山津 歩3分",築6年,3階,1LDK,39.43m2,5.8万円,https://suumo.jp/chintai/jnc_000098915535/?bc=100440208799,6,39.43,5.8,16,高城駅,0.1470961197058077,-1.916669030337162,-1.9879899837631587
サニーガーデンＢ,大分県大分市大字里,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩28分,築10年,2階,2LDK,57.07m2,5.3万円,https://suumo.jp/chintai/jnc_000098850944/?bc=100439653151,10,57.07,5.3,28,坂ノ市駅,0.0928684072192044,-2.3765717639905404,-2.3630586277334986
エクセル野田,大分県大分市大字下郡,牧駅,"ＪＲ日豊本線/牧駅 歩14分
ＪＲ日豊本線/高城駅 歩33分
ＪＲ久大本線/大分駅 歩35分",築30年,4階,2LDK,54.86m2,5.1万円,https://suumo.jp/chintai/jnc_000099369634/?bc=100263547494,30,54.86,5.1,14,牧駅,0.0929639081297849,-2.375543945779177,-2.2900600155846256
クラージュ　ＫｏＭｅＴａＫｅ,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩22分
大分バス/小池原 歩4分",築9年,2階,1LDK,36m2,4.8万円,https://suumo.jp/chintai/jnc_000014853621/?bc=100437715762,9,36.0,4.8,22,高城駅,0.1333333333333333,-2.0149030205422647,-1.9892226173501517
エトワールＯＺ,大分県大分市花江川,大在駅,ＪＲ日豊本線/大在駅 歩19分,築23年,2階,2LDK,59.39m2,5万円,https://suumo.jp/chintai/jnc_000089763054/?bc=100434350121,23,59.39,5.0,19,大在駅,0.0841892574507492,-2.4746879495936684,-2.4102206300621343
イーメゾンもりおかI,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩9分,築9年,2階,2LDK,57.21m2,5.9万円,https://suumo.jp/chintai/jnc_000098850955/?bc=100439721000,9,57.21,5.9,9,滝尾駅,0.1031288236322321,-2.2717763573687635,-2.20845413546899
スターテラス　小池原II,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩20分
大分バス/小池原停 歩1分",築16年,2階,1LDK,44.52m2,4.9万円,https://suumo.jp/chintai/jnc_000080879488/?bc=100436313121,16,44.52,4.9,20,高城駅,0.110062893081761,-2.206703321290763,-2.1264665393918616
ファミリア　フェリーチェ,大分県大分市大字小池原,高城駅,"ＪＲ日豊本線/高城駅 歩20分
ＪＲ日豊本線/鶴崎駅 歩32分
ＪＲ日豊本線/牧駅 歩42分",築13年,2階,1LDK,38.25m2,4.9万円,https://suumo.jp/chintai/jnc_000097304807/?bc=100392803593,13,38.25,4.9,20,高城駅,0.1281045751633987,-2.054908355155964,-2.041575954476224
Ｈｏｐｅ花江川,大分県大分市花江川,大在駅,ＪＲ日豊本線/大在駅 歩20分,築17年,2階,2LDK,53.59m2,6.2万円,https://suumo.jp/chintai/jnc_000098850991/?bc=100434271208,17,53.59,6.2,20,大在駅,0.1156932263481992,-2.156813191455713,-2.305847618418829
ベルセレーノ　Ｂ,大分県大分市大字鶴崎,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩7分,築21年,2階,2LDK,51.67m2,5.2万円,https://suumo.jp/chintai/jnc_000090867099/?bc=100434350456,21,51.67,5.2,7,鶴崎駅,0.1006386684730017,-2.296218716711712,-2.259193168828604
ひまわり,大分県大分市横田２,大在駅,ＪＲ日豊本線/大在駅 歩12分,築18年,2階,1LDK,42.8m2,4.7万円,https://suumo.jp/chintai/jnc_000098539232/?bc=100437458973,18,42.8,4.7,12,大在駅,0.1098130841121495,-2.208975593871738,-2.200576605752924
シャーメゾン・ハクサン　B棟,大分県大分市坂ノ市南２,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩12分,築20年,2階,2LDK,57.81m2,5.6万円,https://suumo.jp/chintai/jnc_000097079093/?bc=100426198613,20,57.81,5.6,12,坂ノ市駅,0.0968690537969209,-2.3343951733532813,-2.4320665781298443
アールズ　ハイム,大分県大分市向原西２,高城駅,"ＪＲ日豊本線/高城駅 歩22分
ＪＲ日豊本線/牧駅 歩43分
ＪＲ日豊本線/鶴崎駅 歩50分",築5年,3階,1LDK,38.25m2,4.9万円,https://suumo.jp/chintai/jnc_000062748117/?bc=100438480255,5,38.25,4.9,22,高城駅,0.1281045751633987,-2.054908355155964,-1.9767829612595316
サン・プリムローズII,大分県大分市大在北４,大在駅,ＪＲ日豊本線/大在駅 歩17分,築8年,2階,1LDK,45.09m2,5.15万円,https://suumo.jp/chintai/jnc_000099020088/?bc=100440947530,8,45.09,5.15,17,大在駅,0.1142160124196052,-2.169663777757348,-2.1448505448905326
サニーフィールズ寒田I,大分県大分市大字寒田,敷戸駅,ＪＲ豊肥本線/敷戸駅 歩14分,築10年,2階,1LDK,50.09m2,5.3万円,https://suumo.jp/chintai/jnc_000098398213/?bc=100437460058,10,50.09,5.3,14,敷戸駅,0.1058095428229187,-2.2461145668114493,-2.097497790493004
パルコ－ト,大分県大分市志村１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩22分
ＪＲ日豊本線/大在駅 歩28分
ＪＲ日豊本線/高城駅 歩58分",築21年,2階,2LDK,57.22m2,5万円,https://suumo.jp/chintai/jnc_000086019807/?bc=100411843044,21,57.22,5.0,22,鶴崎駅,0.0873820342537574,-2.437465575187864,-2.333015694448009
フローリッシュＢＭ,大分県大分市大字寒田,大分大学前駅,ＪＲ豊肥本線/大分大学前駅 歩21分,築18年,3階,1LDK,45.03m2,4.4万円,https://suumo.jp/chintai/jnc_000099457250/?bc=100444038646,18,45.03,4.4,21,大分大学前駅,0.0977126360204308,-2.325724393389265,-2.1652068373335895
サンシャイン王子原III,大分県大分市横尾東町２,鶴崎駅,ＪＲ日豊本線/鶴崎駅 バス15分 (バス停)中筋 歩3分,築15年,2階,2LDK,57.76m2,5.8万円,https://suumo.jp/chintai/jnc_000099495043/?bc=100444774212,15,57.76,5.8,3,鶴崎駅,0.1004155124653739,-2.298438577032197,-2.260681512073335
グリーンティアラB,大分県大分市横田２,大在駅,"ＪＲ日豊本線/大在駅 歩19分
ＪＲ日豊本線/鶴崎駅 歩51分",築20年,2階,2DK,50.12m2,5.2万円,https://suumo.jp/chintai/jnc_000016310779/?bc=100353108889,20,50.12,5.2,19,大在駅,0.1037509976057462,-2.2657615044404857,-2.296843393743039
ホームズ　ソレイユＢ,大分県大分市大字鶴崎,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩2分
ＪＲ日豊本線/高城駅 歩43分",築20年,2階,2LDK,57.22m2,5.4万円,https://suumo.jp/chintai/jnc_000097636427/?bc=100430109817,20,57.22,5.4,2,鶴崎駅,0.094372596994058,-2.360504534051735,-2.296401572589862
夢　ストーク三代Ｂ,大分県大分市花江川,大在駅,ＪＲ日豊本線/大在駅 歩23分,築18年,2階,2LDK,58.86m2,5.4万円,https://suumo.jp/chintai/jnc_000097164942/?bc=100426735666,18,58.86,5.4,23,大在駅,0.091743119266055,-2.388762789235098,-2.3685647746496414
